entnum;Ellix;fj;score;nom
789928942;IE4;5498;1;TOUTANPIERRE SARL
352614663;IE4;5720;7;TF1 PRODUCTION
483786331;IE4;5710;7;CREDIT AGRICOLE CENTRE LOIRE INVESTISSEMENT
529552267;IE4;5710;4;GENERAL AND TECHNICAL APPLICATIONS GTA
492909957;IE4;5499;3;BOURG D'OISANS AUTOMOBILE
519926752;IE4;5498;3;PIZZ MANIA
483786331;IE4;5710;7;CREDIT AGRICOLE CENTRE LOIRE INVESTISSEMENT
788523298;IE4;5498;4;GARAGE DE L'EUROPE
788523298;IE4;5498;4;GARAGE DE L'EUROPE
352614663;IE4;5720;7;TF1 PRODUCTION
533340410;IE4;5499;2;TLMP
494476187;IE3;5499;2;GPSA
750551335;IE4;5720;3;OLEHAS
523699668;IE4;5720;7;GLOBAL BUSINESS
449168319;IE4;5499;5;OLDEM
420129496;IE4;5498;3;IDEES B CREATION
443516364;NA;6585;7;SCP PIERRE RAMAGE
489322669;IE4;5485;4;FM COMPTABILITE CONSEIL
479286387;IE4;5710;2;ITV
479286387;IE4;5710;2;ITV
482844495;NA;1300;7;PILLAH NEIPAL BARTELEMY
539684613;IE4;5499;3;PALM GARAVAN
479141442;IE4;5499;5;ED CAJETTA
479141442;IE4;5499;5;ED CAJETTA
511070518;IE4;5498;3;C F A I E
521217745;IE4;5498;5;COHINVEST
754016608;IE4;5720;4;CH RAVALEMENT
483786331;IE4;5710;7;CREDIT AGRICOLE CENTRE LOIRE INVESTISSEMENT
502970650;IE4;5498;4;LA POISSONNERIE RHOEGINEENNE GUIARD
327020699;IE4;5499;5;ENTREPRISE LAZZAROTTO NOVATEUR - ENTREPRISE LN
529729394;IE4;5499;2;POPXL
501912851;IE3;5499;4;EUROBAT
415051721;IE4;5499;3;SARL PALISSE BECHKA
622880060;IE4;5710;4;ISOLAPRO
421531567;IE4;5499;4;M L M STYLE ET COLLECTIONS
421531567;IE4;5499;4;M L M STYLE ET COLLECTIONS
491235289;IE4;5710;3;CESS & FIL
491235289;IE4;5710;3;CESS & FIL
512860917;IE4;5499;4;LE FESTIN NU
532334927;IE2;5720;2;PADARIA LUSITANA
382006831;IE4;5499;4;GENESTE AUTOMOBILE SARL
524413689;IE4;5498;4;VETIVER JARDIN
499817427;IE4;5499;4;SOCIETE DE MENUISERIE COMPTEMPORAINE
352614663;IE4;5720;7;TF1 PRODUCTION
524963428;IE4;5499;4;P'TIT DOME
491551347;IE4;5498;5;KWA
498758846;IE3;5499;2;SHARING CROSS SARL
524963428;IE4;5499;4;P'TIT DOME
750646028;IE4;5499;2;O C DISTRIB'AUTO
390088623;IE4;5499;5;TOUT TRANSPORT DISTRIBUTION FARINA
410705610;IE4;5498;4;M C I
790461115;IE4;5710;4;JEAN-GABRIEL ET FILS
513205344;IE4;5499;5;AROLLA
534143417;IE4;5499;3;ESLEM
512309139;IE4;5499;5;COLLECTE TRIE REDUCTION DES ORDURES MENAGERES
514115732;IE1;5720;1;RLD EVENT
539456301;IE4;5499;3;KMJ
302183264;IE4;5720;2;ACROPLAST
418196655;IE4;5499;4;HEADLIGHT
443273222;IE4;5499;5;NOVOVISION
523571024;IE4;5720;4;CABINET DELAHOULLE
491742516;IE4;5499;2;NOVELLUS PROMOTION
491202438;IE4;5710;4;PRESTI ACTES SERVICES
408420420;IE3;5499;2;AUTO PRESTATIONS
482192697;IE4;5499;6;LAMALO
404868465;IE4;5710;6;STOCKAGE ET SYSTEMES
403801590;IE4;5498;4;GONDRAN
499201358;NA;1300;7;BROTTES ERIC GILLES JOEL
790153308;IE4;5710;4;VILLAS ENERGIE DE FRANCE
521217745;IE4;5498;5;COHINVEST
533780284;IE4;5710;5;KINDIA
519356521;IE4;5499;4;GINA
533966172;IE4;5720;4;AIREAUPOELENRJ
356800714;IE3;5499;1;SOCIETE LORRAINE DE PRODUCTION ET DE CONCEPTION
306471053;NA;1100;7;FAUVEL YVES
454092289;IE2;5499;2;GAEL AUTO ECOLE
751293358;IE4;5499;5;D M P
