entnum;Ellix;fj;score;nom
790905384;IE3;5720;2;SASU JOUANNEAU
340421700;IE4;5499;3;NEIGE INFORMATIQUE
481989135;IE4;5499;5;SARL LA CHEMINEE
520146309;IE4;5499;2;EVA BOIS
523008928;IE4;5498;1;RHONE ETANCH'
517995403;IE4;5710;3;DP & P CONSULTING
491467411;IE4;5499;5;SARL PAPAZIAN CONSEILS
483784294;IE4;5499;3;EVOLVIA
341933224;IE4;5720;6;BLANCHARD
404334641;IE4;5499;4;FORMATEXT
504995440;NA;6599;7;CO RE S FORMATION
492086475;IE4;5499;4;AXIOME TP
790219208;NA;1200;6;ROLLIN EMMANUEL
484212006;IE4;5498;4;EURL STNL
534717822;IE4;5499;4;CAVAGOGO COM
753471523;IE2;5499;1;NOVA -TRANS EXPRESS
529495335;IE4;5498;2;CLASS-WEB
512409293;NA;1200;2;LEGAY STEPHANE ANDRE
511586430;IE4;5710;4;RL AND PARTNERS
424083194;IE4;5710;5;MATTAN
946750247;IE3;5720;3;ETABLISSEMENTS WILLY SCHNEIDER ET CIE
499701365;IE4;5499;4;ABCO-EUROPE
522509025;IE4;5498;4;LMB COLLECTION
513436535;IE4;5498;4;EURL RENOVATION BATIMENT SOLS ET MURS
792401507;IE3;5499;2;ERDO BATISSEUR
419415617;IE4;5710;8;MENTOR
788532000;IE4;5720;3;AFPAH - AGENCE FRANCAISE DE PROTECTION ET D AMELIORATION DE L HABITAT
345020044;IE4;5720;6;LE JULES VERNE
523993863;IE4;5499;4;PRISMA INSTRUMENTS & GAUGE BOURDON FRANCE
533256251;IE3;5498;1;BATI SYM
482113982;IE4;5498;4;DADIER
528062482;IE4;5710;5;CITY GREEN
491026944;NA;1500;7;PFRIMMER PHILIPPE
527978654;IE3;5498;1;CROC EN STOCK
450115167;IE4;5498;6;ALLO AMBULANCE TAXIS
539628362;IE4;5498;2;G C V A
494389562;IE4;5498;5;SCENA INTERNATIONAL
407707173;IE4;5499;6;SARL CASA DI DELFO
515180081;IE4;5499;5;CGF
412487639;IE4;5499;3;BOIS DES ALPES SERVICES
789532348;IE4;5499;2;STARSKI
441513447;IE4;5499;5;INNOV PR TRANSPORT ENVIRONNEMENT MOBIL
452494347;IE4;5499;5;SARL AVENTURES MECANIQUES
341826188;NA;1300;3;CRONIER HERVE
519880330;IE3;5499;4;MCO COSMETICS & RESEARCH
409614708;IE4;5499;5;FLASHABITAT SARL
572061836;IE4;5498;6;EUROSALAISON
793733593;IE4;5499;6;PURPLE SMOKE
752793703;IE3;5720;2;TOOLERS
479119083;IE4;5499;5;ACFOS
790150213;IE2;5710;2;MT-DEVELOPPEMENT
520120015;IE4;5499;4;MECANIQUE SCHAEFER CENTRE ALSACE
534345392;IE4;5498;2;QUILLENT
534345392;IE4;5498;2;QUILLENT
403782683;NA;1200;7;MONSALLIER FRANCK LAURENT
529609760;NA;6598;7;EARL DU POTAGEROME
520146309;IE4;5499;2;EVA BOIS
344066477;IE4;5499;4;S A R L VASSEUR-MAGNON
411679517;IE4;5499;4;LE SAUMON DE PIRIAC
886980085;IE3;5499;2;ROTEM
488247156;IE4;5499;6;AB COSMETIC
451166094;IE4;5499;5;AU P'TIT MITRON
795279819;IE4;5499;5;GROUPE PUBLIPOSTAL INTERNATIONAL
492925755;IE4;5720;5;S V TRANSPORTS
509006433;IE4;5499;3;CIVIS TELECOM
508456209;IE4;5710;4;NEWORK S
753985092;NA;1200;5;MARCELLIER MIREILLE nee PADEL
452896657;IE4;5499;3;SARL HOUGARD THIERRY
423898824;NA;6598;3;EARL VIGNOBLES JEANJACQUES
417693413;IE4;5710;4;SOCIETE D'AGENCEMENT ET DE VALORISATION IMMOBILIERE
509158366;IE4;5498;2;GARAGE MFPLA
530928720;IE4;5499;3;ELECTRO PRO SERVICES E P S
444884845;IE4;5499;3;CABLES ET CIE
437735830;IE4;5499;3;SOCIETE D EQUIPEMENTS DOMESTIQUES LIGHTING
721873172;NA;1200;0;BEAUNEE JEAN FRANCOIS
438699993;IE4;5499;3;MANAGEMENT ET MATERIELS POUR L'ENVIRONNEMENT
382759736;IE4;5499;8;CAMPING BEL AIR
752704726;IE4;5710;2;TRANSPORTS RALY EXPRESS
448311100;IE4;5498;5;LES VENTS DES DELICES
441770013;IE4;5720;4;JCD DIFFUSION
447747114;IE4;5499;4;AB REPRO
492611330;IE4;5499;3;2B IMMO
792052920;IE4;5720;3;SAS MDO
448076208;NA;6540;7;SCI DUPRE - TOGNOL
484146261;IE4;5499;5;CAP SOLEIL
508914082;NA;5498;0;KDO-A
788769016;IE4;5710;4;K-GROUPE
449475359;NA;1200;3;CLEMENT FABIEN
539723627;IE4;5498;1;BT ENERGIES
479112484;IE4;5499;5;CYRIL LABEILLE DISTRIBUTION
534090816;IE4;5499;4;MIRACLE
505024364;IE4;5710;3;AUTOWORKS
797738549;IE4;5499;4;HABITAT CONSEIL
523738839;IE3;5499;4;PETRUS
329764302;IE4;5710;6;GUERANDIS
448388819;IE4;5499;5;AZUR TECHNIQUE PROJECTION
535021299;IE4;5720;7;RCM
340263912;NA;1200;6;DOUGE Evelyne nee CASTAGNE
388607053;NA;1300;7;BERTIN DIDIER
409604790;IE4;5498;4;VENNIN FINANCE
352614663;IE4;5720;7;TF1 PRODUCTION
490382470;IE4;5499;4;EDDY JACQUIER SARL
352614663;IE4;5720;7;TF1 PRODUCTION
448753384;IE4;5499;5;UNION CASH
352614663;IE4;5720;7;TF1 PRODUCTION
347541245;IE3;5499;2;LAZER
792644114;IE4;5710;4;OD GROUP
484436662;IE4;5498;3;SERVICES BRICOLAGE MATERIAUX LOCATION
332634989;NA;1300;0;MAZZITELLI ALAIN LOUIS RAPHAEL
423483874;IE3;5499;4;PRODUCTION & BROADCASTING COMPANY
481901387;IE4;5498;5;AVANIM
421426263;IE4;5499;5;TECHNIMAX
452472889;IE4;5499;6;NOA FASHION
480570829;IE4;5498;4;M D S A PEINTURE
338751233;NA;1200;5;HIEULLE FREDERIC
349112755;IE4;5499;7;SARL ELIBE
539087486;IE4;5499;6;NAVIER FOOD
320798358;IE4;5498;7;SARL SATDIS
305064792;IE4;5499;4;SOCIETE D'EXPLOITATION DE SUPERETTES
789851680;IE4;5710;5;KS MARKET
492558507;IE4;5499;6;ANISSA DIS
443632781;IE4;5499;7;SOC D'EXPLOITATION ALIMENTAIRS SODEXA
487510406;IE4;5499;4;LA FERME DES EPIS
791900764;IE4;5498;3;CLEVIN
753121359;IE4;5710;1;VNE
752370700;IE4;5499;2;TEKNO AND BUSINESS SOLUTIONS
517575965;IE4;5499;4;ORIGINAL CUP
522782838;IE4;5499;3;TECHNIC ENERGY
440816908;IE4;5499;5;LOCA'R
534087093;IE4;5499;3;WINDSOR DEVELOPMENT
529671968;IE4;5710;4;LEYRAVAUD PATRIMOINE
751933250;IE4;5710;4;C I S INVESTISSEMENT
493755680;IE4;5499;5;A VOS MARQUES PREFEREES
398851402;IE4;5499;5;AFFICHISTES EN REGIE SARL
519560304;IE4;5498;7;DDS AUTO 77
521797464;IE4;5710;5;DIET PLUS SHOP
502922297;IE4;5499;5;I-VIDEO
419994173;NA;6540;7;CLERC P C B
571820299;IE4;5499;5;SARL MAINGOURD
534143417;IE4;5499;3;ESLEM
484169792;IE4;5499;5;PRV DISTRIBUTION
481216000;IE4;5499;4;BT-INFO
531449155;IE4;5499;5;MARIELUCE
712023522;IE4;5499;6;L'ASIATHEQUE - MAISON DES LANGUES DU MONDE
750928004;IE4;5710;4;TAPASPORT
752615161;IE4;5498;5;MELI-MELO DES DELICES
481458867;IE4;5499;2;ICF IDEAL CONCEPT FERMETURES
500547096;IE4;5485;7;PHARMACIE ALZIAL
445134844;IE4;5710;6;CHIN MUDRA
511715013;IE4;5498;3;MAXIBOIS
445134844;IE4;5710;6;CHIN MUDRA
790726293;IE4;5499;1;O2 POOL THERMOCEAN
445134844;IE4;5710;6;CHIN MUDRA
504541160;IE4;5499;5;S.A.D.E.
529810210;IE4;5499;3;EDITIONS MULTIMEDIA CONSEILS
571820299;IE4;5499;5;SARL MAINGOURD
538101312;IE4;5499;3;GRIS
483302642;IE4;5499;6;LOCAMONT 2 M
451829790;IE4;5499;6;BUREAU D ETUDES ET PROJETS IMMOBILIERS
498723782;IE4;5499;5;AUREUS
478419039;IE4;5499;4;L.G.B. EUROPE
433320967;IE4;5499;5;PHYTO'AROMATICA FRANCE
511421265;IE4;5499;3;DSL-CARO
528838709;NA;1200;5;ROS STEPHANE JOEL
408374148;IE4;5499;5;MALIGESTION
405223843;IE4;5710;5;LORY FONDERIES
479657355;IE4;5499;7;LA BELLE MARINE
792982548;IE4;5720;4;MARKETFOOD
517460416;IE3;5498;4;ALTACASA
452820855;IE4;5499;6;SOFAKOM
534428206;IE4;5499;3;CREATION PAUTLER
792640153;IE4;5710;4;PHENIX EVENTS
510958812;IE4;5498;4;EQUIP FOURNIL
514261999;IE4;5499;3;ACAJOU MENUISERIE
794329839;IE4;5498;2;SMI29
408218006;IE4;5499;4;PROMOB SARL
480560911;IE4;5498;4;COREX
507698157;IE3;5499;2;N V M
521811570;IE4;5498;3;RICOU INGENIERIE
479657355;IE4;5499;7;LA BELLE MARINE
497735852;NA;1200;7;VICTOR JEROME
597320431;IE3;5599;2;TRANSPORTS MARMION
508541976;IE4;5499;5;LA NIMOISE
448078501;IE4;5710;5;CAP ARCHITECTURE
341699676;IE4;5498;4;PASCAL ET BEATRIX DECORATION
395234776;IE3;5499;2;OR G
504446485;IE4;5499;4;NAILI
493693451;IE4;5499;2;VDJ IMPORT
490399557;IE4;5710;6;CLIRIS
751978990;IE4;5498;4;NATIONAL PERMIS
800868499;IE4;5720;2;TRAITEUR DOUELLE
349383257;NA;1200;6;LEROY JEAN-CLAUDE ROBERT
501796213;IE4;5498;5;U AND CO
752543421;IE4;5499;5;MB@ MENUISERIE BOIS ALUMINIUM
502465073;IE4;5499;3;INTERNATIONAL CONCEPT TECHNOLOGIE
352614663;IE4;5720;7;TF1 PRODUCTION
382716611;NA;6597;7;SCEA DE CANET
519560304;IE4;5498;7;DDS AUTO 77
790157960;IE4;5499;5;IDEC
349044586;IE4;5710;6;SOGECA
532525052;IE4;5710;3;BELLE NATURE PAYSAGES ET SERVICES
791390560;IE4;5499;2;DAVIR
323904375;IE4;5710;7;HYDRAULIQUE ET PNEUMATIQUE RUBBER
493889661;IE4;5499;4;SARL MAINTENANCE TOUTES CHAUDIERES
478419039;IE4;5499;4;L.G.B. EUROPE
531726669;IE4;5499;5;PHYLOSTACKYS
750928004;IE4;5710;4;TAPASPORT
495125197;IE4;5498;5;CEPHI
495125197;IE4;5498;5;CEPHI
539970715;IE4;5499;4;A P JARDINS
495125197;IE4;5498;5;CEPHI
752315002;NA;1200;6;PARAIRE FLORENT ANDRE ETIENNE
752796862;NA;5499;0;FCS DISTRIBUTION
790729677;IE4;5498;3;TOC DE MAC
513602631;IE4;5499;3;SA2M
453586760;IE4;5498;4;EXALTE
508359502;NA;6598;7;EARL DU MESNIL
498512409;IE4;5499;2;SOCIETE DARMAND
494133218;NA;1200;7;PROBEL CAROLINE MARIANNE
480478791;IE4;5499;5;MYRIADE
539970715;IE4;5499;4;A P JARDINS
484359161;IE4;5485;4;LABORDE LANSARD
480017391;IE4;5499;2;R J C SERVICE
514333921;IE4;5499;4;SARL RESDIS
327296174;IE4;5710;5;PALGA INTERNATIONAL
421649237;IE4;5499;4;AAA IMMO' LAND
793533985;IE4;5499;2;ALTERA
515082808;IE4;5499;6;CKELPROCESS
523818862;IE4;5498;3;CELEREAU
529419673;IE4;5499;3;SARL GMD
509467254;IE4;5498;4;TBM OPTIQUE
519003735;IE4;5499;5;SARL CB FLY
514669431;IE4;5499;3;RDG TECHNOLOGIES
538991274;IE4;5499;4;JUL FORM
528822810;IE4;5499;4;SARL ROLE
320798358;IE4;5498;7;SARL SATDIS
538767583;IE4;5720;2;DS INDUSTRIES SERVICES
484329966;IE4;5499;4;ACS1
419894043;IE4;5499;4;BUROLOGIS
428094031;NA;1600;5;RUDEAU JEAN-LUC
519543474;IE4;5710;5;AUTO-LIFT
429220213;IE4;5499;2;TOURISME ET QUALITE
432320349;IE4;5498;3;EURL SALMAGNE IMMOBILIER
529403669;IE4;5499;3;PROFESSION EXPERT
534188826;IE4;5499;2;C&I RENOV
753477967;IE4;5710;1;PREFA OUEST
339651937;NA;1200;3;WATRIN ERIC
438825424;IE4;5498;5;INTEQUEDIS
434833604;IE4;5499;4;SHIMON
434833604;IE4;5499;4;SHIMON
752503193;IE4;5485;5;PHARMACIE PHARMABELLE
501322374;IE4;5499;2;SF LELEU
493763783;IE4;5499;4;COURAGE VILLIERS
449807833;IE4;5499;4;NACARAT PROD
400919916;IE4;5499;5;SOCOM- SOC DE COMMERCE MONDIAL
501984439;IE4;5498;5;GROUPE MARKEASY FRANCE
431725449;IE4;5499;5;B A S
751043084;IE4;5498;3;MAISONELEC
448240770;IE4;5499;6;LES HOMES DE PEZZA CARDO
790319818;IE4;5499;4;KFM
752362582;IE4;5498;3;PROVENCE TELECOM
507562528;IE4;5499;4;SARL AMELIORATION ET SECURITE DE L'HABITAT ET DE L'ENTREPRISE
434833604;IE4;5499;4;SHIMON
453143554;IE4;5499;3;ACES3
523862126;IE3;5499;1;DAVID VALLEE ELEC
518140835;IE4;5499;4;T T I A CLIM
490793601;IE4;5499;4;LE YETI
479595332;IE4;5499;3;ESPRIT BOIS 21
339651937;NA;1200;3;WATRIN ERIC
532472743;IE4;5499;4;USLU BATIMENT
499954378;NA;1200;0;DEBON WILFRID ANDRE RAYMOND
477646053;IE4;5499;4;LABORATOIRE PRODENTALL
514720085;IE3;5499;1;WCOMMERCIALISATION
498944594;NA;1100;7;DURANDO Florian
534748702;IE2;5499;4;SARL CADOT TRANSPORTS
533179420;IE4;5498;4;LG
514261999;IE4;5499;3;ACAJOU MENUISERIE
791156086;IE4;5720;5;JTV DIGITAL
438116212;IE4;5599;1;SENSIRISK
788746980;IE2;5499;1;SH EVOLUTION
352614663;IE4;5720;7;TF1 PRODUCTION
793988361;IE4;5499;5;CAPSOLEIL
453471013;IE4;5499;6;CARDINAL PARIS
498425214;IE4;5498;3;ALVIN
443305818;NA;1200;7;RAGNE PHILIPPE
453126302;IE4;5498;4;LB CARRELAGE
518958442;IE4;5710;5;BROTTEAUX MEDICAL
791932080;IE4;5499;5;CFLOU
452454440;IE4;5499;7;FITNESSBOUTIQUE FRANCE
482861390;IE4;5499;5;KAABAOUI
489894139;IE4;5710;4;SELL IN FRANCE
509523940;IE4;5498;5;LANQI
520146309;IE4;5499;2;EVA BOIS
797421682;NA;3290;105;LYLO MEDIA GROUP
420179095;IE4;5499;5;VENT D'OUEST
791247521;IE4;5499;4;DOGRAL AUTOMOBILES
750659518;IE3;5499;4;SARL AMG MICHEL
528822810;IE4;5499;4;SARL ROLE
521513630;IE4;5499;5;INSTITUT BRETON DU SPORT
341497493;NA;6598;7;EARL DE MONPOU
521563817;NA;1200;7;PAGNOUX ERIC
522807551;NA;1200;6;JOUFFRAY REMY
417749611;NA;6533;7;DU FARMER CREST
752578492;IE4;5710;4;LYLO MEDIA GROUP FRANCE
326407822;IE4;5710;5;MENUISERIE SAVOYARDE MENTHON A ET FILS
302262514;IE4;5499;4;TEYSSIER EXTIMSO
439933334;IE4;5498;4;SPAHR ASSEMBLAGE
348429382;NA;1100;4;COLAS JEAN-LOUIS ANDRE PAUL
449879220;IE4;5498;5;ELEPHANTS & CO
525222014;IE4;5498;3;PIECES OCCAZ
411406796;IE4;5599;6;S A H
494662448;NA;5499;0;MAELKA
347955270;IE4;5499;7;AGEVAR ASSISTANCE GESTION DU VAR
402188650;IE4;5710;2;SHOW VISION S A
332602721;IE4;5499;5;GARAGE AUTOMOBILES BENECH
533514618;IE4;5499;5;SARL VIRUS MOTO
481737740;IE4;5499;5;RECREALIRE
384913158;NA;1200;5;SMID ERIC HENRI JEAN
349257220;IE4;5499;6;SUPERMARCHES PAQUET
417628948;IE4;5499;5;MAROC FINES HERBES
320734502;IE4;5710;7;TF1 FILMS PRODUCTION
482745379;IE4;5499;7;TIME TO GO
515280949;IE4;5498;3;MAISON ECO 2
492629027;IE4;5499;4;BOUZEREAU IMMOBILIER SARL
514542505;IE4;5499;3;HOTELS & TOURS SERVICES
481737740;IE4;5499;5;RECREALIRE
424434140;IE4;5499;5;R S L AUTOMOBILES
501367759;IE4;5710;5;ACREOS
451364673;IE4;5499;6;AXI BAT
731920815;IE4;5710;5;ETS MAREK ET CIE
731920815;IE4;5710;5;ETS MAREK ET CIE
447901505;NA;1600;7;GAFFORY PIERRE
538594565;IE4;5499;2;LE CHAUDRON GOURMAND
500419429;IE4;5499;4;MAIL DATA
520435223;IE4;5498;3;TOPICO AUTO
440246031;NA;1100;6;FERREIRA DAVID
447544289;NA;1300;6;THEVENIN GUILLAUME
499090223;IE3;5499;1;L.G.C.
528039506;IE4;5498;2;PARAVISINI
330085390;IE4;5720;5;SOCIETE DE DISTRIBUTION DE PRODUITS BOULANGERS
492761481;IE4;5499;3;OCEANE
509429841;IE3;5720;2;AUTOMATISME ELEC
528147986;IE4;5499;4;P'TIMMO
338465859;NA;6598;7;EARL LE BOSC
524717352;NA;1200;2;ABATI BLANDINE
499388999;IE4;5720;5;ARMATIS LC FRANCE
791349319;IE4;5498;5;ELLIT VISION
481056554;IE4;5498;2;DESK PROVENCE
522858364;NA;5498;0;VIVALLEE
791349319;IE4;5498;5;ELLIT VISION
512444191;IE4;5485;6;SELARL SABINE BERNARDINI
499245728;IE2;5498;1;TP LOC
411767577;NA;1200;7;UGARTE ETIENNE
483413134;IE4;5499;4;TERRES D'ALIZES
382950616;IE4;5499;5;LES EDITIONS DE L EPURE
531002343;IE4;5499;3;LACOSTE
495206237;IE4;5485;7;PHARMACIE DU VIEL ABREUVOIR
499245728;IE2;5498;1;TP LOC
539928614;IE4;5785;4;PHARMACIE FRADIN
534468475;IE3;5499;1;SMARTY TRAVEL
420198517;NA;1600;7;BEAUMONT PHILIPPE
520915349;IE4;5499;7;RETAIL ID ASSOCIATES
305909889;IE4;5499;6;ETABLISSEMENTS HARMAND ET FILS
311798607;IE4;5710;7;ENTREPRISE TRAVAUX AGRICOLES PUBLICS
340256114;IE4;5499;2;C I E -CENTRE INTERPROFESSIONNEL D'ETUDES
399731520;IE4;5499;3;DE NARDA ELECTRICITE GENERALE
750836942;IE4;5499;4;NETIDENTITY
529809675;IE4;5499;4;AU COEUR DU JARDIN'MCR SERVICES
490169166;IE4;5710;6;FIDESIO
490169166;IE4;5710;6;FIDESIO
489532374;IE4;5499;2;VERTIGO IMMOBILIER
790484430;IE4;5499;3;SSI-CONCEPT
532882255;IE4;5498;3;CAR CONSULTING SERVICE
529650806;IE4;5498;2;ENTREPRISE JULIA
530587187;IE3;5498;2;LE SAVOYARD GOURMAND
434257259;IE4;5499;5;ARKALIS
792786501;IE4;5710;2;DP DIFFUSION
788856458;IE4;5720;4;POLE-CONNECT
498898071;IE4;5498;3;CLOISY-TECHNOLOGIES
399731520;IE4;5499;3;DE NARDA ELECTRICITE GENERALE
451583322;IE4;5499;2;SARL DOMAINE DEBRAY
794195214;IE4;5720;3;SASU CEA AUTO 24
753648328;IE4;5499;3;RDM AUTOMOBILES
452704133;IE4;5498;5;DAVID COHEN EURL
453291882;IE4;5720;6;LA VIE SIMPLE
538202482;IE4;5499;3;SARL SATURY
395231350;IE4;5499;3;SOCIETE FABRICATIONS MECANIQUES
382005841;IE4;5499;4;LOISIR-PLAISIR S.A.R.L.
399828771;IE4;5720;3;F T A
311334593;NA;1200;7;LACROIX CLAUDE nee RONCIN
347807935;IE4;5499;5;SARL MENUISERIE DE NARDA
529955395;IE4;5710;5;INNOVIA
415362243;IE3;5499;3;DUPOUY SARL
775661390;IE4;5599;6;FNAC
482435070;IE4;5499;6;NOSILA
752265447;IE3;5499;2;ADRENALINE
752265447;IE3;5499;2;ADRENALINE
498732445;IE4;5499;3;ARCAROCHES
753974641;IE4;5499;6;M A D MARKETING
751683319;IE4;5720;3;BRICANGE
485006050;IE4;5499;5;HELITTORAL
510166572;IE4;5498;4;DISCOUNT INFORMATIQUE 64
348352048;IE4;5720;3;NORSILK
534752068;IE4;5499;3;EUROGIL
790833529;IE4;5720;3;TECHNI PROTEC
509467254;IE4;5498;4;TBM OPTIQUE
498910462;IE4;5498;5;SANTOSHA
753648328;IE4;5499;3;RDM AUTOMOBILES
398177881;IE4;5499;5;ALSIM SIMULATEURS SARL
394686174;IE4;5499;3;SARL POUTEAU BERNARD
484468178;IE4;5710;5;NEWSTEO
752961151;NA;1100;6;NORMAND FREDDY
789813888;IE1;5499;2;DISTRI-BIERES
422102137;IE4;5499;6;TECHNIPOSE EAI
514261999;IE4;5499;3;ACAJOU MENUISERIE
451454730;IE4;5498;5;NICE TRANSACTIONS
490382470;IE4;5499;4;EDDY JACQUIER SARL
524395514;NA;5499;0;SIMA
502519325;IE4;5498;2;LES SENS DU BOIS
753084672;IE4;5499;4;CRYSTAL OPTIC
517961744;IE4;5710;6;SMART & SOFT
393034525;IE4;5710;4;PENDER FRANCE
794191882;IE4;5720;2;R M C CONSTRUCTION
489241554;IE4;5499;4;SOCIETE NOUVELLE AQUITAINE CORSO
794191882;IE4;5720;2;R M C CONSTRUCTION
422102137;IE4;5499;6;TECHNIPOSE EAI
397822370;NA;1300;3;BLAISE WILLIAM JEAN-PAUL
538840562;IE4;5498;2;MCNS
507577484;NA;1200;7;CIORNEI JACQUELINE nee MARTI
511220949;IE4;5498;5;ALPHA SIGMA
531467652;IE4;5499;4;D CLAIS
504767815;IE4;5499;5;LE BO MARCHE
789263944;IE4;5498;3;NELYSA
479973422;IE4;5499;5;QUALEIDO
521418228;IE4;5499;6;NEW NKS MARCADET
524955895;IE4;5498;2;BLUE LAGON PISCINES
341699676;IE4;5498;4;PASCAL ET BEATRIX DECORATION
722026622;IE4;5499;4;SOC D'IMPRESSIONS RELIEF M NOEL
421111519;IE4;5710;6;THEOBALD TRUCKS
382663102;IE4;5710;6;TVI LOCATIONS
379406911;IE4;5710;6;THEOBALD AUTOMOBILES
753566553;IE4;5710;3;SOCIETE DE TRANSPORTS ET LOCATION DE VEHICULES INDUSTRIELS
399398551;IE4;5720;5;EGN 41
433503661;NA;1200;3;GUERREIRO BRIGITTE nee PERRIOLAT
530070168;IE4;5720;4;DOMILIENCE SERVICES
522577063;IE4;5710;4;SAS WAO
799376827;IE4;5499;2;SARL DANIEL
482134335;IE4;5498;5;SUN COIFFURE JULIEN R
531252534;IE4;5499;5;DJEKANY 54
333221745;NA;6598;7;EARL DOMAINE DU BIEN AIME
511167983;IE4;5710;4;EGK DISTRIBUTION
480311158;IE4;5499;5;PHYDINVEST
513893503;IE4;5710;4;TECLIB
480311158;IE4;5499;5;PHYDINVEST
535023642;IE4;5499;2;SP CONFORT
789135845;IE4;5710;2;COMPAGNIE NIMOISE DE COMMUNICATION EDITION MULTIMEDIA ET DE PRESSE
789135845;IE4;5710;2;COMPAGNIE NIMOISE DE COMMUNICATION EDITION MULTIMEDIA ET DE PRESSE
788724334;IE4;5498;5;CHERCHE-MIDI-COULEURS
478033707;NA;6597;7;SCEA DOMAINE DE PEGEAT
799575238;IE4;5499;4;PINWEI PARIS
432202646;IE4;5499;7;MARIJU
478628233;IE4;5710;7;HOLDING GROUPE NOEL
753492966;IE4;5498;4;Z SERVICE ET CONSEIL
753492966;IE4;5498;4;Z SERVICE ET CONSEIL
352614663;IE4;5720;7;TF1 PRODUCTION
