Date,Open,High,Low,Close,Volume,Adj Close
2015-09-30,105.35,106.10,104.60,105.65,1149000,105.65
2015-09-29,100.75,103.45,100.50,103.00,1259400,103.00
2015-09-28,103.75,104.05,101.25,101.65,786300,101.65
2015-09-25,101.95,104.55,101.60,103.95,1005300,103.95
2015-09-24,102.05,102.60,99.64,100.55,1246000,100.55
2015-09-23,102.55,103.40,101.90,102.05,921700,102.05
2015-09-22,105.35,105.45,101.85,102.05,1332500,102.05
2015-09-21,103.35,105.65,103.35,105.35,686200,105.35
2015-09-18,105.00,105.20,102.00,103.30,2318800,103.30
2015-09-17,106.20,106.40,105.25,105.55,742600,105.55
2015-09-16,106.15,106.80,105.85,106.00,716800,106.00
2015-09-15,104.80,106.05,103.90,105.35,594200,105.35
2015-09-14,105.25,106.45,104.30,104.60,845500,104.60
2015-09-11,106.40,106.45,104.80,104.90,792500,104.90
2015-09-10,106.85,107.55,105.70,105.85,814100,105.85
2015-09-09,109.30,109.65,107.75,107.85,921500,107.85
2015-09-08,106.50,107.80,106.20,106.55,835000,106.55
2015-09-07,105.95,106.75,105.20,106.00,498300,106.00
2015-09-04,107.25,107.45,104.30,104.80,1162000,104.80
2015-09-03,107.00,108.90,106.55,108.15,1049200,108.15
2015-09-02,105.50,106.95,105.00,106.00,1010100,106.00
2015-09-01,104.85,105.60,103.40,105.30,1297400,105.30
2015-08-31,106.85,107.30,105.95,106.85,756500,106.85
2015-08-28,107.25,107.65,105.95,107.65,798400,107.65
2015-08-27,106.25,107.40,105.50,106.80,1380400,106.80
2015-08-26,105.00,105.70,103.10,103.35,2530300,103.35
2015-08-25,104.30,107.55,103.40,106.45,2304900,106.45
2015-08-24,103.85,105.60,98.33,101.75,3497200,101.75
2015-08-21,109.25,110.55,107.00,107.00,1541900,107.00
2015-08-20,112.15,112.60,110.05,110.15,1007200,110.15
2015-08-19,114.35,114.55,112.40,112.40,837900,112.40
2015-08-18,115.00,115.60,114.45,115.05,452900,115.05
2015-08-17,116.45,117.05,114.10,115.40,602800,115.40
2015-08-14,115.85,116.80,114.85,115.55,487900,115.55
2015-08-13,116.60,116.80,115.50,115.85,594600,115.85
2015-08-12,117.50,117.65,114.30,114.70,1349400,114.70
2015-08-11,121.80,121.80,118.20,118.40,894900,118.40
2015-08-10,120.80,121.90,120.00,121.85,526000,121.85
2015-08-07,121.40,121.40,120.35,120.55,685500,120.55
2015-08-06,121.55,122.45,121.30,121.60,625300,121.60
2015-08-05,120.50,122.00,120.35,121.95,878300,121.95
2015-08-04,119.45,120.40,118.90,120.30,519300,120.30
2015-08-03,118.50,119.90,118.05,119.75,724300,119.75
2015-07-31,116.90,118.55,116.70,118.55,770100,118.55
2015-07-30,117.50,117.55,116.10,117.05,659700,117.05
2015-07-29,116.60,117.20,113.35,115.50,1383400,115.50
2015-07-28,115.65,116.75,114.95,116.25,678900,116.25
2015-07-27,117.10,117.20,114.70,114.85,816900,114.85
2015-07-24,118.00,119.15,117.35,117.55,604100,117.55
2015-07-23,119.50,119.60,118.05,118.45,539000,118.45
2015-07-22,119.60,120.15,118.85,118.95,643900,118.95
2015-07-21,121.35,121.65,119.95,120.20,744800,120.20
2015-07-20,121.25,122.25,120.75,121.00,734900,121.00
2015-07-17,120.80,121.30,120.15,120.75,811000,120.75
2015-07-16,119.90,121.25,119.65,120.55,951800,120.55
2015-07-15,118.90,119.80,118.65,119.65,588700,119.65
2015-07-14,118.80,119.00,118.20,118.85,722800,118.85
2015-07-13,118.60,119.20,117.80,118.80,1073900,118.80
2015-07-10,116.00,116.95,115.00,116.60,1257800,116.60
2015-07-09,110.65,113.70,110.35,113.15,1363300,113.15
2015-07-08,109.20,110.65,109.05,109.75,1054500,109.75
2015-07-07,112.35,112.40,109.10,109.15,1545700,109.15
2015-07-06,112.10,114.00,111.75,112.05,992000,112.05
2015-07-03,115.30,115.30,113.55,114.10,636300,114.10
2015-07-02,115.85,116.30,114.25,114.30,701300,114.30
2015-07-01,114.95,117.30,113.65,115.75,1271600,115.75
2015-06-30,115.65,116.50,113.45,113.45,1468300,113.45
2015-06-29,114.15,117.65,113.00,115.70,1748100,115.70
2015-06-26,118.40,120.90,118.20,119.95,976900,119.95
2015-06-25,117.90,120.40,117.80,119.55,937400,119.55
2015-06-24,119.40,119.75,118.10,119.25,904400,119.25
2015-06-23,119.75,120.10,118.45,119.65,904400,119.65
2015-06-22,115.80,118.70,115.25,118.65,1482900,118.65
2015-06-19,113.05,115.05,112.65,113.25,3614900,113.25
